n
"{""password"":$2a$12$YAmeySb7LdTbSnpULqqqDO1bmsmKxTm1.ogKZTMk02EYsjyCH7nMa,""role"":Student,""name"":Alice Lopez,""emailID"":alice@sjsu.edu}"
"{""password"":$2a$12$YAmeySb7LdTbSnpULqqqDO1bmsmKxTm1.ogKZTMk02EYsjyCH7nMa,""role"":Student,""name"":Juan Jones,""emailID"":juan@sjsu.edu}"
"{""password"":$2a$12$YAmeySb7LdTbSnpULqqqDO1bmsmKxTm1.ogKZTMk02EYsjyCH7nMa,""role"":Student,""name"":Kenneth Bryant,""emailID"":kenneth@sjsu.edu}"
"{""name"":Computer Communication Systems}"
"{""password"":$2a$12$YAmeySb7LdTbSnpULqqqDO1bmsmKxTm1.ogKZTMk02EYsjyCH7nMa,""role"":Student,""name"":Jerry Davis,""emailID"":jerry@sjsu.edu}"
"{""password"":$2a$12$YAmeySb7LdTbSnpULqqqDO1bmsmKxTm1.ogKZTMk02EYsjyCH7nMa,""role"":Student,""name"":William Rodriguez,""emailID"":william@sjsu.edu}"
"{""password"":$2a$12$YAmeySb7LdTbSnpULqqqDO1bmsmKxTm1.ogKZTMk02EYsjyCH7nMa,""role"":Student,""name"":Frances Washington,""emailID"":frances@sjsu.edu}"
"{""password"":$2a$12$YAmeySb7LdTbSnpULqqqDO1bmsmKxTm1.ogKZTMk02EYsjyCH7nMa,""role"":Faculty,""name"":Navrati Saxena,""emailID"":navrati.saxena@sjsu.edu}"
"{""password"":$2a$12$YAmeySb7LdTbSnpULqqqDO1bmsmKxTm1.ogKZTMk02EYsjyCH7nMa,""role"":Faculty,""name"":Masshour Solh,""emailID"":masshour.solh@sjsu.edu}"
"{""password"":$2a$12$YAmeySb7LdTbSnpULqqqDO1bmsmKxTm1.ogKZTMk02EYsjyCH7nMa,""role"":Faculty,""name"":Chris Pollet,""emailID"":chris.pollet@sjsu.edu}"
"{""password"":$2a$12$YAmeySb7LdTbSnpULqqqDO1bmsmKxTm1.ogKZTMk02EYsjyCH7nMa,""role"":Faculty,""name"":Ben Reed,""emailID"":ben.reed@sjsu.edu}"
"{""password"":$2a$12$YAmeySb7LdTbSnpULqqqDO1bmsmKxTm1.ogKZTMk02EYsjyCH7nMa,""role"":Faculty,""name"":William B. Andreopoulos,""emailID"":william.andreopoulos@sjsu.edu}"
"{""password"":$2a$12$YAmeySb7LdTbSnpULqqqDO1bmsmKxTm1.ogKZTMk02EYsjyCH7nMa,""role"":Faculty,""name"":Nada Attar,""emailID"":nada.attar@sjsu.edu}"
"{""password"":$2a$12$YAmeySb7LdTbSnpULqqqDO1bmsmKxTm1.ogKZTMk02EYsjyCH7nMa,""role"":Faculty,""name"":Thomas Austin,""emailID"":thomas.austin@sjsu.edu}"
"{""password"":$2a$12$YAmeySb7LdTbSnpULqqqDO1bmsmKxTm1.ogKZTMk02EYsjyCH7nMa,""role"":Faculty,""name"":Alexandra Chakarov,""emailID"":alexandra.chakarov@sjsu.edu}"
"{""password"":$2a$12$YAmeySb7LdTbSnpULqqqDO1bmsmKxTm1.ogKZTMk02EYsjyCH7nMa,""role"":Faculty,""name"":Robert Chun,""emailID"":robert.chun@sjsu.edu}"
"{""password"":$2a$12$YAmeySb7LdTbSnpULqqqDO1bmsmKxTm1.ogKZTMk02EYsjyCH7nMa,""role"":Faculty,""name"":Fabio Di Troia,""emailID"":fabio.ditroia@sjsu.edu}"
"{""password"":$2a$12$YAmeySb7LdTbSnpULqqqDO1bmsmKxTm1.ogKZTMk02EYsjyCH7nMa,""role"":Faculty,""name"":Genya Ishigaki,""emailID"":genya.ishigaki@sjsu.edu}"
"{""password"":$2a$12$YAmeySb7LdTbSnpULqqqDO1bmsmKxTm1.ogKZTMk02EYsjyCH7nMa,""role"":Faculty,""name"":Katerina Potika,""emailID"":katerina.potika@sjsu.edu}"
"{""password"":$2a$12$YAmeySb7LdTbSnpULqqqDO1bmsmKxTm1.ogKZTMk02EYsjyCH7nMa,""role"":Faculty,""name"":Mark Stamp,""emailID"":mark.stamp@sjsu.edu}"
"{""password"":$2a$12$YAmeySb7LdTbSnpULqqqDO1bmsmKxTm1.ogKZTMk02EYsjyCH7nMa,""role"":Student,""name"":Ann Parker,""emailID"":ann@sjsu.edu}"
"{""name"":Topics in Machine Learning}"
"{""name"":Design and Analysis of Algorithms}"
"{""name"":Distributed Computing}"
"{""name"":Human Computer Interaction}"
"{""name"":Bioinformatics}"
"{""name"":Topics in Sequence-based Machine Learning for Bioinformatics}"
"{""name"":Introduction to Data Structures}"
"{""name"":Advanced Parallel Processing}"
"{""name"":Introduction to Machine Learning}"
"{""name"":Reinforcement Learning}"
"{""name"":Topics in Information Security}"
"{""name"":Operating Systems}"
"{""name"":Topics in Database Systems}"
"{""password"":$2a$12$4SLDSuyx9pRX5tL7Z7fBhuP49tx4F2c3.MFOOPSHPNbnoUW6EkQgW,""role"":Admin,""name"":Chris Parker,""emailID"":chris.parker@sjsu.edu}"
"{""password"":$2a$12$YAmeySb7LdTbSnpULqqqDO1bmsmKxTm1.ogKZTMk02EYsjyCH7nMa,""role"":Student,""name"":Victor Wood,""emailID"":victor@sjsu.edu}"
"{""name"":Artificial Intelligence}"
"{""name"":Machine Learning}"
"{""name"":Programming}"
"{""name"":Data Structures}"
"{""name"":Algorithms}"
"{""name"":Infrastructure}"
"{""name"":Operating Systems}"
"{""name"":Networking}"
"{""name"":Database}"
"{""name"":System Design}"
"{""name"":Web Applications}"
"{""name"":Cloud Computing}"
"{""name"":Distributed Systems}"
"{""name"":Computer Vision}"
"{""name"":Security}"
"{""password"":$2a$12$YAmeySb7LdTbSnpULqqqDO1bmsmKxTm1.ogKZTMk02EYsjyCH7nMa,""role"":Student,""name"":James Williams,""emailID"":james@sjsu.edu}"
